frame.number,frame.time_epoch,frame.len,btle.length,btle.central_bd_addr,btle.peripheral_bd_addr,btle.access_address,btle.data_header.llid,btatt.opcode,btatt.handle,btatt.value,inter_arrival_time,type
7378,1763251867.904011,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0,normal
7379,1763251867.919013,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.015002012252807617,normal
7380,1763251867.919241,32,6,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.00022792816162109375,normal
7381,1763251867.934014,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.014773130416870117,normal
7382,1763251867.934314,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0002999305725097656,normal
7383,1763251867.949016,32,6,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.014702081680297852,normal
7384,1763251867.949292,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.0002758502960205078,normal
7385,1763251867.994023,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.04473114013671875,normal
7386,1763251867.994324,44,18,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,17,1,0118,0.0003008842468261719,normal
7387,1763251868.009026,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,16,-1,,0.014702081680297852,normal
7388,1763251868.009343,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x03,-1,-1,,0.00031685829162597656,normal
7389,1763251868.024028,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.01468515396118164,normal
7390,1763251868.024257,52,26,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,17,40,,0.0002288818359375,normal
7391,1763251868.039032,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.01477503776550293,normal
7392,1763251868.039348,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003159046173095703,normal
7393,1763251868.069036,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029688119888305664,normal
7394,1763251868.069264,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,1,,0.00022792816162109375,normal
7395,1763251868.099042,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.029778003692626953,normal
7396,1763251868.099271,53,27,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,9,2,,0.00022912025451660156,normal
7397,1763251868.114046,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.01477503776550293,normal
7398,1763251868.129048,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.015002012252807617,normal
7399,1763251868.129365,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00031685829162597656,normal
7400,1763251868.14405,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014684915542602539,normal
7401,1763251868.144279,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,8,,0.00022912025451660156,normal
7402,1763251868.159054,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,4,-1,,0.01477503776550293,normal
7403,1763251868.159355,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7404,1763251868.174056,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014701128005981445,normal
7405,1763251868.174284,36,10,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,5,4,,0.00022792816162109375,normal
7406,1763251868.189057,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014773130416870117,normal
7407,1763251868.219062,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,4,-1,,0.03000497817993164,normal
7408,1763251868.219363,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.0003008842468261719,normal
7409,1763251868.234065,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.014702081680297852,normal
7410,1763251868.234293,35,9,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,1,9,,0.00022792816162109375,normal
7411,1763251868.26407,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.029777050018310547,normal
7412,1763251868.294074,37,11,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x02,8,-1,,0.030004024505615234,normal
7413,1763251868.294391,26,0,ec:e3:34:b3:26:ba,ec:e3:34:b2:e0:c2,0x43c4cdc5,0x01,-1,-1,,0.00031685829162597656,normal
